Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Lexington,South Carolina,698.91,298750.00,427.45,303,31013,454,35553
Cumberland,Maine,835.24,295003.00,353.20,368,13495,184,15335
Dutchess,New York,795.63,294218.00,369.79,356,24571,420,28771
Leon,Florida,666.85,293582.00,440.25,297,29965,298,32945
Greene,Missouri,675.30,293086.00,434.01,301,28134,445,32584
Ingham,Michigan,556.12,292406.00,525.80,260,17764,290,20664
Clayton,Georgia,141.57,292256.00,2064.39,62,24278,417,28448
Ottawa,Michigan,563.47,291830.00,517.92,264,23371,361,26981
Gloucester,New Jersey,322.01,291636.00,905.67,162,25775,567,31445
Thurston,Washington,721.96,290536.00,402.43,321,7585,81,8395
Chatham,Georgia,426.44,289430.00,678.71,207,21835,401,25845
Anchorage,Alaska,1704.68,288000.00,168.95,612,27440,160,29040
Cleveland,Oklahoma,538.77,284014.00,527.15,259,29247,290,32147
San Luis Obispo,California,3298.57,283111.00,85.83,1004,20189,253,22719
Winnebago,Illinois,513.36,282572.00,550.44,242,28796,478,33576
York,South Carolina,680.60,280979.00,412.84,311,27995,347,31465
Benton,Arkansas,847.36,279141.00,329.42,388,27933,398,31913
Dauphin,Pennsylvania,525.05,278299.00,530.04,257,21668,511,26778
Merced,California,1934.97,277680.00,143.51,692,30142,428,34422
Webb,Texas,3361.48,276652.00,82.30,1032,43003,811,51113
Santa Cruz,California,445.17,273213.00,613.73,219,15196,199,17186
St. Joseph,Indiana,457.85,271826.00,593.70,223,31353,538,36733
Kitsap,Washington,394.94,271473.00,687.38,205,6148,89,7038
Erie,Pennsylvania,799.15,269728.00,337.52,380,18307,389,22197
Alachua,Florida,875.02,269043.00,307.47,408,22994,252,25514
New London,Connecticut,664.88,265206.00,398.88,325,20012,418,24192
Kalamazoo,Michigan,561.66,265066.00,471.93,281,16142,325,19392
St. Johns,Florida,600.66,264672.00,440.64,296,20752,200,22752
Brown,Wisconsin,529.71,264542.00,499.41,269,33447,261,36057
Atlantic,New Jersey,555.70,263670.00,474.48,278,26849,598,32829
Madison,Illinois,1183.38,262966.00,222.22,522,28767,560,34367
Washington,Minnesota,384.28,262440.00,682.94,206,22733,270,25433
Buncombe,North Carolina,656.67,261191.00,397.75,326,16119,304,19159
St. Tammany,Louisiana,845.55,260419.00,307.99,407,24742,511,29852
Weber,Utah,576.08,260213.00,451.70,290,27240,180,29040
St. Clair,Illinois,657.76,259686.00,394.80,330,29005,529,34295
Frederick,Maryland,660.22,259547.00,393.12,332,17695,292,20615
Marin,California,520.31,258826.00,497.45,270,13441,220,15641
Cherokee,Georgia,421.67,258773.00,613.69,220,28968,290,31868
McLennan,Texas,1100.28,256623.00,233.23,501,25747,452,30267
Harford,Maryland,437.09,255441.00,584.41,231,13298,255,15848
Cumberland,Pennsylvania,545.46,253370.00,464.51,283,17428,491,22338
Jefferson,Texas,876.30,251565.00,287.08,429,18649,376,22409
Yakima,Washington,4295.40,250873.00,58.41,1322,28550,427,32820
Clay,Missouri,397.30,249948.00,629.12,215,9809,155,11359
Chesapeake city,Virginia,340.80,244835.00,718.41,201,19087,264,21727
Lafayette,Louisiana,268.72,244390.00,909.46,161,22031,266,24691
Forsyth,Georgia,224.02,244252.00,1090.31,137,21089,167,22759
Norfolk city,Virginia,54.12,242742.00,4485.25,19,15657,229,17947
Caddo,Louisiana,878.54,240204.00,273.41,447,24973,709,32063
Union,North Carolina,631.52,239859.00,379.81,347,21727,206,23787
Washington,Arkansas,941.97,239187.00,253.92,469,29970,343,33400
Williamson,Tennessee,582.60,238412.00,409.22,314,26058,210,28158
Arlington,Virginia,25.97,236842.00,9119.83,8,13856,242,16276
Yavapai,Arizona,8123.50,235099.00,28.94,1955,18277,483,23107
Warren,Ohio,401.31,234602.00,584.59,230,23040,287,25910
Henry,Georgia,322.13,234561.00,728.16,199,23262,293,26192
New Hanover,North Carolina,191.53,234473.00,1224.21,125,17035,159,18625
Sussex,Delaware,936.08,234225.00,250.22,474,23379,452,27899
Smith,Texas,921.45,232751.00,252.59,472,19308,438,23688
Hinds,Mississippi,869.74,231840.00,266.56,455,19465,400,23465
Richmond city,Virginia,59.81,230436.00,3852.80,24,15367,234,17707
Hays,Texas,677.98,230191.00,339.52,377,18738,235,21088
Lake,Ohio,227.49,230149.00,1011.69,148,18930,349,22420
Saratoga,New York,809.98,229863.00,283.79,432,12774,152,14294
Canyon,Idaho,587.37,229849.00,391.32,337,25263,285,28113
Whatcom,Washington,2106.86,229247.00,108.81,831,7278,86,8138
Brazos,Texas,585.45,229211.00,391.51,335,22457,230,24757
Mahoning,Ohio,411.62,228683.00,555.57,240,19892,573,25622
Oneida,New York,1212.43,228671.00,188.61,575,20410,487,25280
Berkeley,South Carolina,1098.86,227907.00,207.40,541,15794,178,17574
Linn,Iowa,716.88,226706.00,316.24,398,19714,321,22924
Montgomery,Alabama,784.25,226486.00,288.79,427,23401,543,28831
Jefferson,Missouri,656.63,225081.00,342.78,374,21693,230,23993
Gaston,North Carolina,356.03,224529.00,630.65,214,24450,398,28430
Baldwin,Alabama,1589.78,223234.00,140.42,707,20329,296,23289
Jackson,Oregon,2783.55,220944.00,79.37,1055,8944,120,10144
Yolo,California,1014.69,220500.00,217.31,527,13197,191,15107
Clay,Florida,604.36,219252.00,362.78,360,17118,325,20368
Butte,California,1636.46,219186.00,133.94,738,11191,185,13041
Doña Ana,New Mexico,3807.51,218195.00,57.31,1337,23752,410,27852
Shelby,Alabama,784.93,217702.00,277.35,441,22789,229,25079
Cabarrus,North Carolina,361.75,216453.00,598.35,222,19254,239,21644
Yuma,Arizona,5513.99,213787.00,38.77,1695,36671,812,44791
Barnstable,Massachusetts,393.72,212990.00,540.97,250,11146,428,15426
Mohave,Arizona,13311.08,212181.00,15.94,2367,21896,673,28626
Okaloosa,Florida,930.25,210738.00,226.54,515,19587,343,23017
Champaign,Illinois,996.27,209689.00,210.47,537,18643,141,20053
Lackawanna,Pennsylvania,459.08,209674.00,456.73,286,14857,429,19147
Tuscaloosa,Alabama,1321.76,209355.00,158.39,653,24811,434,29151
Johnston,North Carolina,791.30,209339.00,264.55,457,18919,206,20979
Niagara,New York,522.36,209281.00,400.65,322,15965,323,19195
Delaware,Ohio,443.10,209177.00,472.08,280,16993,126,18253
Montgomery,Tennessee,539.18,208993.00,387.61,341,17951,214,20091
Harrison,Mississippi,573.99,208080.00,362.52,361,17216,298,20196
York,Maine,990.71,207641.00,209.59,538,10181,125,11431
Washington,Pennsylvania,856.99,206865.00,241.39,487,14434,271,17144
Clermont,Ohio,452.10,206428.00,456.60,288,18865,219,21055
Elkhart,Indiana,463.17,206341.00,445.50,294,26021,441,30431
Hall,Georgia,392.78,204441.00,520.50,262,26254,419,30444
Benton,Washington,1700.38,204390.00,120.20,776,15455,209,17545
Calcasieu,Louisiana,1063.66,203436.00,191.26,567,20689,378,24469
Anderson,South Carolina,715.43,202558.00,283.13,433,21302,490,26202
Richmond,Georgia,324.33,202518.00,624.42,216,23320,458,27900
Hawaii,Hawaii,4028.42,201513.00,50.02,1450,2409,53,2939
St. Louis,Minnesota,6247.40,199070.00,31.86,1873,15358,289,18248
Trumbull,Ohio,618.30,197974.00,320.19,392,14733,446,19193
Onslow,North Carolina,762.74,197938.00,259.51,462,15162,139,16552
Deschutes,Oregon,3018.19,197692.00,65.50,1227,6163,70,6863
Racine,Wisconsin,332.50,196311.00,590.41,227,23245,361,26855
Muscogee,Georgia,216.39,195769.00,904.70,163,15182,407,19252
Tippecanoe,Indiana,499.81,195732.00,391.61,334,20557,213,22687
Sangamon,Illinois,868.30,194672.00,224.20,519,16591,266,19251
Hernando,Florida,472.54,193920.00,410.38,313,12022,435,16372
Minnehaha,South Dakota,807.15,193134.00,239.28,490,28983,340,32383
El Dorado,California,1707.88,192843.00,112.91,806,9274,105,10324
Beaufort,South Carolina,576.28,192122.00,333.38,384,16028,194,17968
Livingston,Michigan,565.25,191995.00,339.66,375,11279,153,12809
Sumner,Tennessee,529.45,191283.00,361.29,362,22074,327,25344
Saginaw,Michigan,800.11,190539.00,238.14,494,16709,540,22109
Broome,New York,705.77,190488.00,269.90,452,16084,341,19494
Charlotte,Florida,680.28,188910.00,277.69,440,11155,388,15035
Outagamie,Wisconsin,637.52,187885.00,294.71,418,22257,212,24377
Butler,Pennsylvania,788.60,187853.00,238.21,492,14684,382,18504
Sarpy,Nebraska,238.99,187196.00,783.28,184,20636,108,21716
DeSoto,Mississippi,476.15,184945.00,388.42,340,20219,245,22669
Ellis,Texas,1012.69,184826.00,182.51,586,21650,300,24650
Santa Rosa,Florida,1011.61,184313.00,182.20,587,17566,276,20326
Cass,North Dakota,1764.94,181923.00,103.08,870,21952,196,23912
Iredell,North Carolina,573.83,181806.00,316.83,397,17070,202,19090
Vanderburgh,Indiana,233.48,181451.00,777.16,186,21579,391,25489
Imperial,California,4176.60,181215.00,43.39,1596,27218,694,34158
Kent,Delaware,586.18,180786.00,308.41,406,15039,318,18219
Pitt,North Carolina,651.98,180742.00,277.22,442,17996,84,18836
Boone,Missouri,685.41,180463.00,263.29,459,17767,86,18627
Litchfield,Connecticut,920.56,180333.00,195.89,559,11942,284,14782
Shasta,California,3775.40,180080.00,47.70,1501,11113,195,13063
Medina,Ohio,421.36,179746.00,426.59,305,14018,247,16488
Newport News city,Virginia,68.71,179225.00,2608.43,44,12243,202,14263
Peoria,Illinois,619.21,179179.00,289.37,425,17632,286,20492
Kanawha,West Virginia,901.59,178124.00,197.57,557,12575,322,15795
Ulster,New York,1124.24,177573.00,157.95,655,11123,234,13463
Washington,Utah,2426.36,177556.00,73.18,1139,20418,190,22318
Shawnee,Kansas,544.02,176875.00,325.13,391,16683,350,20183
Licking,Ohio,682.50,176862.00,259.14,463,15413,199,17403
Midland,Texas,900.30,176832.00,196.41,558,16829,258,19409
Johnson,Texas,724.69,175817.00,242.61,483,19078,352,22598
Bay,Florida,758.46,174705.00,230.34,507,19398,368,23078
Muskegon,Michigan,499.25,173566.00,347.65,370,12953,318,16133
Scott,Iowa,458.09,172943.00,377.53,348,17498,224,19738
Winnebago,Wisconsin,434.49,171907.00,395.65,329,20147,207,22217
McLean,Illinois,237.22,171517.00,723.03,200,15103,199,17093
Aiken,South Carolina,1071.03,170872.00,159.54,647,16330,214,18470
Porter,Indiana,418.15,170389.00,407.48,317,16372,297,19342
Hendricks,Indiana,406.91,170311.00,418.55,307,16221,324,19461
Monroe,Pennsylvania,608.29,170271.00,279.92,437,10688,282,13508
Kenosha,Wisconsin,271.99,169561.00,623.41,217,17301,319,20491
Alamance,North Carolina,423.94,169509.00,399.84,324,16417,237,18787
Greene,Ohio,413.73,168937.00,408.33,316,13878,227,16148
Paulding,Georgia,312.22,168667.00,540.22,252,15433,197,17403
Carroll,Maryland,447.60,168447.00,376.33,350,7951,216,10111
Pueblo,Colorado,2386.10,168424.00,70.59,1168,15479,365,19129
Davidson,North Carolina,552.68,167609.00,303.27,411,15037,177,16807
Maui,Hawaii,1161.52,167417.00,144.14,688,3282,36,3642
Kenton,Kentucky,160.25,166998.00,1042.11,143,16030,160,17630
Guadalupe,Texas,711.30,166847.00,234.57,498,13735,200,15735
Ector,Texas,897.69,166223.00,185.17,580,16528,348,20008
Guam,Guam,210.00,165768.00,789.37,183,0,0,10099
Kootenai,Idaho,1244.13,165697.00,133.18,739,17027,192,18947
Wyandotte,Kansas,151.60,165429.00,1091.22,136,19510,281,22320
Lee,Alabama,607.54,164542.00,270.83,449,15274,166,16934
Kent,Rhode Island,168.53,164292.00,974.85,151,16047,337,19417
Beaver,Pennsylvania,434.71,163929.00,377.10,349,12784,355,16334
Chittenden,Vermont,536.58,163774.00,305.22,409,5519,94,6459
Rock,Wisconsin,718.14,163354.00,227.47,514,16184,179,17974
Charles,Maryland,457.75,163257.00,356.65,365,9430,169,11120
Dorchester,South Carolina,573.23,162809.00,284.02,431,15919,201,17929
Portage,Ohio,487.38,162466.00,333.35,385,11469,190,13369
Middlesex,Connecticut,369.30,162436.00,439.85,298,11056,349,14546
Centre,Pennsylvania,1109.92,162385.00,146.30,680,13834,213,15964
Yellowstone,Montana,2633.29,161300.00,61.25,1287,16531,243,18961
Stearns,Minnesota,1343.13,161075.00,119.93,777,19269,208,21349
Martin,Florida,543.46,161000.00,296.25,415,11114,299,14104
Hampshire,Massachusetts,527.26,160830.00,305.03,410,8002,277,10772
Indian River,Florida,502.87,159923.00,318.02,393,11474,275,14224
Catawba,North Carolina,398.72,159551.00,400.16,323,17972,289,20862
Alexandria city,Virginia,15.03,159428.00,10607.32,7,10740,128,12020
St. Clair,Michigan,721.17,159128.00,220.65,525,10125,264,12765
Rensselaer,New York,652.43,158714.00,243.27,482,9625,133,10955
Jackson,Michigan,701.67,158510.00,225.90,516,15456,258,18036
Sullivan,Tennessee,413.36,158348.00,383.08,343,14983,279,17773
Olmsted,Minnesota,653.35,158293.00,242.28,485,12152,93,13082
Johnson,Indiana,320.43,158167.00,493.61,272,16832,384,20672
Houston,Georgia,375.54,157863.00,420.36,306,13900,237,16270
Fairfield,Ohio,504.41,157574.00,312.39,403,14939,195,16889
Madera,California,2137.07,157327.00,73.62,1131,15877,226,18137
Columbia,Georgia,290.09,156714.00,540.23,251,16112,195,18062
Comal,Texas,559.48,156209.00,279.20,438,9524,304,12564
Schenectady,New York,204.52,155299.00,759.33,194,11381,186,13241
Rankin,Mississippi,775.49,155271.00,200.22,551,13104,271,15814
Franklin,Pennsylvania,772.22,155027.00,200.75,549,13101,337,16471
Mesa,Colorado,3328.97,154210.00,46.32,1530,13618,208,15698
Berrien,Michigan,567.75,153401.00,270.19,451,12233,248,14713
Ouachita,Louisiana,610.41,153279.00,251.11,473,17813,430,22113
Bibb,Georgia,249.76,153159.00,613.22,221,15287,413,19417
Kings,California,1389.42,152940.00,110.07,825,22505,238,24885
Stafford,Virginia,268.96,152882.00,568.42,238,9915,68,10595
Penobscot,Maine,3397.36,152148.00,44.78,1574,4337,87,5207
Merrimack,New Hampshire,934.12,151391.00,162.07,635,7914,109,9004
Johnson,Iowa,614.04,151140.00,246.14,477,13319,76,14079
Washington,Maryland,457.78,151049.00,329.96,387,12860,260,15460
Tolland,Connecticut,410.21,150721.00,367.42,358,8276,178,10056
Monroe,Michigan,549.39,150500.00,273.94,446,10716,209,12806
Santa Fe,New Mexico,1909.41,150358.00,78.75,1063,9987,142,11407
Citrus,Florida,581.70,149657.00,257.28,464,10140,420,14340
